	lymph_node_20	lymph_node_25	lymph_node_26	lymph_node_28	lymph_node_5	primary_10	primary_12	primary_13	primary_16	primary_17	primary_18	primary_20	primary_22	primary_23	primary_24	primary_25	primary_26	primary_28	primary_5	primary_6	primary_7	primary_8
B_cells	2.7739773045612095	3.44814365486101	4.3782235802755896	4.445907770937531	3.4538434505393396	31.977280443325395	0.0	19.643887432350304	0.0	0.0	0.0	2.18751522520105	0.8562952767582871	0.0	0.640217885799953	0.0	2.6373976777677597	2.41759887780904	3.4660343584611395	2.1294414595239	4.686341311253	29.599811955244203
Macrophages_M1	4.0502501431451705	18.0734918703199	12.575350625068701	37.3553715075115	30.985818984487892	31.018956128816303	0.0	30.927457991477798	25.416936028087	12.344440147105901	18.293035417481306	7.932166874336239	45.309147848784	0.0	71.6328393857999	50.101123468490286	44.147446950085296	45.271418186156104	43.37441928698689	35.013918824754604	19.4370146571382	25.436788822357997
Macrophages_M2	4.44030704347883	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0614259252677	0.0	0.0	0.0	0.0	0.0	0.0	3.9837542156435495	0.0	0.0	0.0
Monocytes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Neutrophils	3.72923243718453	0.0	1.82090344135637	0.5814152611305721	4.91611797665137	0.0	0.0	0.5826257986173959	0.0	0.0	0.0	4.82217070682913	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.2071989809683803	6.796894517460091	0.0
NK_cells	1.32917611224556	0.5937467430840501	1.91656011001706	2.3786496063463	6.4900166832895305	1.27392976814758	0.0	2.3586362155766003	1.95639975363256	2.6006324687042404	2.7839269676044305	1.75944799046724	6.5527058968375895	0.0	0.27671956291488503	0.38112231864120094	2.61518159077275	8.137291699988241	4.868873962756871	3.00245761095343	0.0	2.86929705397706
T_helpers	3.57469607334584	65.61255722713591	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.2441690669855	0.0	0.0	0.0	0.0	0.0	0.0	1.15414275828676	0.0	0.0	31.660876548492197
CD8_T_cells	0.0	4.4791610269070485	3.45281456804861	0.0	0.0	1.1709055589781598	16.1416197189067	2.4525375967180096	27.4803338166494	30.427462242611604	36.097922572434705	0.0	0.0	99.9999999999999	0.0	25.900399575354005	2.46608916897863	0.0	4.41122683899882	0.0	0.0	2.08705901728371
Tregs	0.261877806949893	7.792899477692091	3.08809096969544	8.712125624789302	0.0	33.0301039827672	83.85838028109329	38.727382608099106	45.146330401631005	54.627465141578206	42.82511504247961	0.278190492603617	0.32848891873001	0.0	4.3439508690317705	23.617354637514488	6.80203582638571	0.492197837989967	12.8798066724172	2.40566108298206	0.6250577508803371	8.346166602644871
Dendritic_cells	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Macrophages	8.490557186623999	18.0734918703199	12.575350625068701	37.3553715075115	30.985818984487892	31.018956128816303	0.0	30.927457991477798	25.416936028087	12.344440147105901	18.293035417481306	9.993592799603938	45.309147848784	0.0	71.6328393857999	50.101123468490286	44.147446950085296	45.271418186156104	47.358173502630436	35.013918824754604	19.4370146571382	25.436788822357997
T_cells	3.8365738802957328	77.88461773173505	6.5409055377440515	8.712125624789302	0.0	34.20100954174536	100.0	41.17992020481711	72.62666421828041	85.05492738418981	78.92303761491429	4.522359559589118	0.32848891873001	99.9999999999999	4.3439508690317705	49.517754212868496	9.268124995364339	0.492197837989967	18.445176269702774	2.40566108298206	0.6250577508803371	42.094102168420775
CD4_T_cells	3.8365738802957328	73.40545670482801	3.08809096969544	8.712125624789302	0.0	33.0301039827672	83.85838028109329	38.727382608099106	45.146330401631005	54.627465141578206	42.82511504247961	4.522359559589118	0.32848891873001	0.0	4.3439508690317705	23.617354637514488	6.80203582638571	0.492197837989967	14.033949430703961	2.40566108298206	0.6250577508803371	40.00704315113707
Lymphocytes	7.939727297102503	81.92650812968013	12.8356892280367	15.536683002073133	9.943860133828869	67.45221975321833	100.0	63.18244385274403	74.58306397191295	87.65555985289404	81.70696458251874	8.469322775257407	7.737490092325888	99.9999999999999	5.260888317746608	49.898876531509714	14.520704263904848	11.047088415787249	26.780084590920787	7.537560153459389	5.3113990621333365	74.56321117764205
Other	79.84048307908897	0.0	72.76805670553823	46.526530229284795	54.15420290503186	1.528824117965355	0.0	5.307472357160781	4.440892098500626e-14	4.440892098500626e-14	-4.440892098500626e-14	76.71491371830952	46.953362058890114	9.992007221626406e-14	23.106272296453515	0.0	41.33184878600985	43.68149339805665	25.861741906448763	54.241322040817636	68.45469176326837	-4.440892098500626e-14
