	BT1160	BT1187	BT749	BT771	BT786	BT830	BT85	BT920	MGH100	MGH101	MGH102	MGH104	MGH105	MGH106	MGH110	MGH113	MGH115	MGH121	MGH122	MGH124	MGH125	MGH128	MGH129	MGH136	MGH143	MGH151	MGH152	MGH66
B_cells	2.264472816001	8.693050060377669	2.9889963698468502	2.98831462657202	2.1315339485865	1.1495823665774	1.07923712059748	4.2871970402993105	2.27481485196017	2.70146820715455	6.34762893462338	0.314352721879793	3.79807769567191	0.0	2.5128686096714503	4.23228984958273	2.97906906218853	4.15741100983038	3.99198926102134	6.3918213700749815	4.19437097766661	4.33502301102327	2.94284126745884	2.96772478275481	0.0	2.89721085795676	1.93048007510771	1.7185262362028402
Macrophages_M1	0.0	10.739887192628201	0.0	5.20609411274899	0.0	3.6458378263410496	0.0	0.0	0.0	10.9578964099038	12.895452989037599	0.0	24.962446822712803	1.87038724895973	0.0	8.682649589742018	1.3201043207996102	0.0	13.2147474516925	3.1464202373668995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.348536667272707
Macrophages_M2	0.0	71.22621753053079	0.0	4.159402616778291	0.0	3.9101287793786894	0.0	0.0048461194651529295	0.0	20.445938798314	23.350301881712895	12.3023604178934	31.1482041614184	7.45897903364336	0.0	12.8916632225804	7.713818491683151	8.739539010052503	17.128703247671	6.54275697341262	7.217799738269701	6.95121078628859	4.3933130470801185	0.0	0.0	2.03625703744755	0.0	9.784713773518538
Monocytes	36.065860376035296	0.0	13.781397434136698	6.757327574820089	12.196653555448297	0.0	53.52395030628671	29.6187775109516	33.3563108177488	0.0	19.854172722307894	0.0	0.0	2.3847489091876404	19.307041504567106	7.202021917301849	16.040581863122803	7.10551267233315	7.6341560924851	22.4517008422296	23.826657841832	6.33310711626265	19.2604533826274	31.414314089780298	0.0	27.2549349701091	21.126534464649197	6.2375720597327495
Neutrophils	0.0	4.362085595369988	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NK_cells	5.778555552665289	0.0	3.9981112804221497	9.644404187646971	3.4265672397287603	3.56478680887587	6.17434401164374	5.60635082653632	10.906659582851699	39.118033065638286	5.76235126803849	52.49834559000529	11.589974927816	10.4827456656144	13.778054945647304	14.7837743059259	21.84562018688061	24.919556633920802	6.1309385980085205	8.771771577428419	5.18873937387326	7.328167347202108	27.813415496600204	7.24484235114428	100.0	18.401081923482106	7.2544588253953295	31.452165563772997
T_helpers	13.229080091670498	0.0	16.766260758764098	0.0	12.7466110942993	9.168768306725061	9.41186330372896	6.40824590238316	0.0	0.0	0.5244328676279489	0.0	0.0	3.9543330025436494	6.504841726571151	0.0	0.0	0.0	8.49885606251416	4.79736011965641	16.2817483209826	0.0	0.0	15.634593027758898	0.0	0.0	0.0	0.0
CD8_T_cells	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.9764645682921	0.8456937728327699	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tregs	1.3580173351222602	0.0	1.6509678926329698	0.0	1.56139789083451	3.91053073759088	0.42271315266333503	0.4880417339056421	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0474862563535	0.4006604168751951	2.99680843327252	0.0	0.0	1.5437897425128502	0.0	0.0	0.0	0.0
Dendritic_cells	0.0	4.97875962109334	0.0	0.0	0.0	2.53420589303071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.198788786888	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2691297611851398	0.0	0.0	0.0	0.0	0.0	0.0
