	AdultKidney2	AdultKidney4
B_cells	2.81311441529077	3.0308878288668297
Macrophages_M1	27.0442906614715	14.600268147083302
Macrophages_M2	1.53941097417571	6.217300938239481
Monocytes	0.0	0.0
Neutrophils	8.73000376149757	16.3401585058792
NK_cells	0.564364809666958	0.632742706661133
T_helpers	1.54075438861061	0.0
CD8_T_cells	0.15946472326155403	0.0
Tregs	3.0128299635732403	3.02195136601092
Dendritic_cells	0.0	0.0
Other	54.5957663024521	56.15669050725912
Macrophages	28.583701635647213	20.81756908532278
T_cells	4.713049075445404	3.02195136601092
CD4_T_cells	4.55358435218385	3.02195136601092
Lymphocytes	8.09052830040313	6.685581901538883
