	cy53	cy58	cy59	cy60	cy65	cy67	cy71	cy72	cy74	cy75	cy78	cy79	cy80	cy81	cy82	cy84	cy88	cy89	cy94
B_cells	0.0	0.0	1.50593758379206	60.91881141478479	5.20868861586305	29.6221595080319	0.21551014778602898	24.500262302409602	0.0	0.0	2.0162993600129	14.9265130730217	17.3492035255984	3.39899924722488	10.9416270605264	27.0614723997403	7.8770801897559695	30.1747475105051	42.620703101501796
Macrophages_M1	10.1599266553525	0.0	5.5614057859596295	0.0	0.214210356351657	1.3472673646840398	5.03454898405409	0.493291398562965	0.0	0.0	1.36142468202551	1.7014161982816502	3.9278348979107895	5.02201763741868	7.379750199244278	18.0702231359853	5.21621099519614	1.3064375655262799	3.10277347161969
Macrophages_M2	5.437156263167401	0.0	2.9542401191049503	4.342929777585709	0.0	0.275550791926487	1.0044275882464901	0.0	0.0	0.0	5.4824668373397705	1.69821293103056	1.3172127317646398	2.69377282239614	1.9822755470535296	0.9071557025163508	7.73266790246462	1.53335495197393	5.363525699791491
Monocytes	0.0	0.0	0.0	0.0	0.0	0.0	0.0839971142846685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Neutrophils	0.0	0.0	0.0	0.0	0.0	0.0	2.3493241933370497	0.0	0.0	0.0	0.0	1.8320234166147296	0.0247640629578092	2.3685080949703696	0.0	0.0	0.37621437519446	0.0	0.0
NK_cells	8.6694726883984	0.0	1.08262523523601	6.0903991337532295	0.0	4.92294897223638	2.18942286128459	1.09865726418953	0.0	0.0	2.65097673815709	0.0	2.32467732891614	0.9497153637334581	1.16720730238978	6.72878851509561	3.7746504054302696	0.0	1.87781591194222
T_helpers	26.9854331087044	0.0	2.0583429147247196	0.0	0.0	7.1684584437712005	0.0	32.585619106887705	0.0	0.0	3.2261934206678298	0.0	35.1127117039385	32.3580290423704	4.057459310547101	0.0	16.2023282234276	0.0	29.529814027547488
CD8_T_cells	27.2547098873056	99.9999999999999	0.0	23.274227765595	83.28725408796349	42.05896231129472	33.9520237998096	16.440140540541197	100.0	99.9999999999999	0.0	72.9708921021753	25.793736806626505	13.93181265985	23.112476283940396	42.368672440291796	26.6241663845702	66.98545997199471	12.493385289890696
Tregs	21.4933013970718	0.0	0.4019131984807	5.373631908281299	11.289846939821802	14.604652608055304	16.2225803787568	24.882029387408995	0.0	0.0	0.341127582173282	1.2723055494665803	14.149858942287194	7.3425497475331785	46.74090253893549	4.8636878063706295	12.8144482868699	0.0	5.011982497706629
Dendritic_cells	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.21977857070628	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T_cells	75.73344439308181	99.9999999999999	2.4602561132054204	28.6478596738763	94.5771010277853	63.83207336312121	50.174604178566405	73.9077890348379	100.0	99.9999999999999	3.567321002841112	74.24319765164188	75.0563074528522	53.63239144975357	73.910838133423	47.232360246662424	55.640942894867706	66.98545997199471	47.035181815144824
Macrophages	15.5970829185199	0.0	8.515645905064579	4.342929777585709	0.214210356351657	1.6228181566105269	6.038976572300579	0.493291398562965	0.0	0.0	6.843891519365281	3.3996291293122103	5.24504762967543	7.7157904598148175	9.36202574629781	18.97737883850165	12.94887889766076	2.83979251750021	8.46629917141118
CD4_T_cells	48.47873450577622	0.0	2.4602561132054204	5.373631908281299	11.289846939821802	21.773111051826504	16.2225803787568	57.46764849429671	0.0	0.0	3.567321002841112	1.2723055494665803	49.2625706462257	39.70057878990357	50.7983618494826	4.8636878063706295	29.016776510297504	0.0	34.54179652525413
Lymphocytes	84.40291708148021	99.9999999999999	5.04881893223349	95.65707022241432	99.78578964364836	98.3771818433895	52.57953718763702	99.50670860143705	100.0	99.9999999999999	8.234597101011099	89.16971072466356	94.73018830736672	57.98110606071191	86.01967249633918	81.02262116149835	67.29267349005393	97.16020748249979	91.53370082858885
Other	-8.881784197001252e-14	9.992007221626406e-14	86.43553516270192	-4.440892098500626e-14	0.0	0.0	38.94816493244068	0.0	0.0	9.992007221626406e-14	82.70173280891734	5.598636729409479	2.220446049250313e-14	31.934595384502906	4.6183017573630165	0.0	19.38223323709085	-2.220446049250313e-14	-2.220446049250313e-14
