	Sample_1976.0	Sample_3250.0	Sample_3250.1	Sample_3266.0	Sample_3281.0	Sample_3288.0	Sample_3288.1	Sample_3290.0
B_cells	2.99328869511961	0.0	2.0649482603137903	11.3874705509884	4.401886747276548	0.7257803154765029	0.0	0.892754124932542
Macrophages_M1	16.2968038254302	2.19362261809441	19.0973096609545	5.971277879230749	22.6330605162816	27.9779660417771	55.64322014778139	37.6724696787545
Macrophages_M2	19.533821425290306	1.3611752321486499	0.0	8.5763475525528	35.1711140814023	35.0422177286435	19.2257444990605	27.129419093026097
Monocytes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Neutrophils	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NK_cells	1.22122616645321	65.1501469171134	1.4838560483738998	7.21915877607664	0.6789800916386679	0.0	0.0	0.0
T_helpers	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CD8_T_cells	0.0	0.0	0.0	0.395121640903128	0.8054184015343601	0.0	0.0	0.0
Tregs	0.0	0.0	5.4313779295887885	12.3221182391751	0.0	0.0	0.0	0.0
Dendritic_cells	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T_cells	0.0	0.0	5.4313779295887885	12.71723988007823	0.8054184015343601	0.0	0.0	0.0
CD4_T_cells	0.0	0.0	5.4313779295887885	12.3221182391751	0.0	0.0	0.0	0.0
Macrophages	35.8306252507205	3.55479785024306	19.0973096609545	14.547625431783553	57.8041745976839	63.0201837704206	74.8689646468419	64.80188877178061
Lymphocytes	4.21451486157282	65.1501469171134	8.98018223827648	31.323869207143268	5.886285240449578	0.7257803154765029	0.0	0.892754124932542
Other	59.95485988770668	31.295055232643534	71.92250810076901	54.12850536107319	36.30954016186653	36.2540359141029	25.131035353158108	34.30535710328686
