	TWDN-WUR-117-A1	TWDN-WUR-117-A2	TWDN-WUR-117-A3	TWDN-WUR-120-A1	TWDN-WUR-120-A2	TWDN-WUR-120-A3	TWDN-WUR-124-A1	TWDN-WUR-124-A2
B_cells	1.961834319814656	4.369466962342838	2.1135044772049256	1.467637980752066	1.1765587509846105	1.6191299113504791	2.8973737191993614	3.474723550039875
Macrophages_M1	34.24588565876224	27.983887986610927	42.13247761098313	28.42119439109881	35.611793372472874	28.114883723852945	12.248216698578362	13.557407582786071
Macrophages_M2	11.656062206019325	4.966335176521125	21.939997668923308	19.80479343472313	19.804853070366036	20.538844041328502	31.633729047865554	28.23540905408205
Monocytes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Neutrophils	40.21922429539255	32.19222527532362	11.104394672928978	43.14818221340256	35.088289705852304	40.04583692360315	46.498901324579705	41.24517700277254
NK_cells	3.6106222656124656	1.5414043952026997	3.8283702701256064	4.884083708264677	5.867568162021579	6.859805699761638	4.698226917128238	6.044255976343135
T_helpers	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CD8_T_cells	4.703018779223666	21.95283202234221	7.887970532475004	0.0	0.0	0.0	0.0	0.0
Tregs	3.6033524751751154	6.993848181656591	10.993284767359038	2.2741082717587546	2.4509369383025987	2.8214997001032733	2.023552292648813	7.443026833976325
Dendritic_cells	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Macrophages	45.90194786478156	32.950223163132044	64.07247527990644	48.22598782582193	55.41664644283891	48.653727765181465	43.88194574644391	41.79281663686813
CD4_T_cells	3.6033524751751154	6.993848181656591	10.993284767359038	2.2741082717587546	2.4509369383025987	2.8214997001032733	2.023552292648813	7.443026833976325
T_cells	8.306371254398782	28.9466802039988	18.881255299834038	2.2741082717587546	2.4509369383025987	2.8214997001032733	2.023552292648813	7.443026833976325
Lymphocytes	13.878827839825902	34.857551561544355	24.823130047164568	8.625829960775498	9.495063851308787	11.300435311215386	9.619152928976412	16.962006360359336
