	GSM2230759	GSM2230758	GSM2230760	GSM2230757
B_cells	0.563286117714577	1.73615290637871	1.26444563343478	1.33469794214953
Macrophages_M1	15.1912891558483	6.29932342108801	10.6947779760474	3.02075207964852
Macrophages_M2	0.0	2.1869477523077703	0.0	1.37176855830083
Monocytes	0.0	0.0	0.0	0.0
Neutrophils	0.0	0.756320567834746	0.0	0.8714530794860851
NK_cells	0.9341984039542308	2.16676258124085	1.62367452700398	2.7152211689458596
T_helpers	1.84027109556631	0.208187553045797	5.2474048960823	2.18582794150046
CD8_T_cells	0.08157366006287879	0.7618601681356229	1.12218144887449	0.523646583188379
Tregs	2.18138147135378	7.09694707553597	4.98624681912713	6.98344821670097
Dendritic_cells	0.0	1.89222905702528	0.0	4.07156971299596
Other	79.20800009549991	76.89526891740721	75.06126869942992	76.9216147170834
Macrophages	15.1912891558483	8.48627117339578	10.6947779760474	4.3925206379493495
T_cells	4.103226226982969	8.06699479671739	11.35583316408392	9.692922741389811
CD4_T_cells	4.02165256692009	7.305134628581767	10.23365171520943	9.16927615820143
Lymphocytes	5.600710748651777	11.969910284336953	14.243953324522678	13.7428418524852
