	NSCLC_Lambrechts_10xv2_Sample_4b	NSCLC_Lambrechts_10xv2_Sample_3a	NSCLC_Lambrechts_10xv2_Sample_4c	NSCLC_Lambrechts_10xv2_Sample_3c	NSCLC_Lambrechts_10xv2_Sample_4d	NSCLC_Lambrechts_10xv2_Sample_3b	NSCLC_Lambrechts_Sample_1b	NSCLC_Lambrechts_Sample_1c	NSCLC_Lambrechts_Sample_1d	NSCLC_Lambrechts_Sample_2a	NSCLC_Lambrechts_Sample_2b	NSCLC_Lambrechts_Sample_2c
B_cells	0.972791019805148	5.820751670623849	1.87124167576076	2.42416005686373	1.5575722323570902	3.2590130743874104	5.565843701525281	13.6577851780275	6.1410351262639296	5.998463199744211	3.1076991312482005	4.83522420472802
Macrophages_M1	2.26143769408546	7.119032505868369	2.50545163854748	6.28294212556608	1.8804265790497696	5.12148265151343	3.89077433731188	1.69121919936748	2.0155750276513498	0.8763285865410451	2.14715128415541	3.52626859986796
Macrophages_M2	3.48757793502897	19.3799550881177	4.0136138585399515	9.479814340455867	2.3779758071789	11.452740534634499	1.6917584242414498	2.24134205022512	0.38846851788973896	3.0866828591789197	4.125999956487831	2.7483500965422203
Monocytes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Neutrophils	8.541103515724691	2.08528134464234	9.23873442150896	8.311344760678741	8.60937354440338	5.468787761128532	8.66030204890512	8.70559272346601	12.1678171571259	11.8448674121823	8.62290673047864	14.072351396107006
NK_cells	3.23660562816108	3.0077704429778396	2.8370365110311	2.9152212944376896	3.1119093597076803	3.9234833007191603	3.53798278691818	2.62118735590658	4.47329214984684	3.1917813960632997	2.3111297113363403	2.66980197442729
T_helpers	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.3618103511745	0.0	0.0	0.0	0.0
CD8_T_cells	33.267889986656	12.093914865047505	22.534730935177894	4.57668177334083	25.549065056832	12.068808123193099	13.017715621263699	10.6552282261835	22.834787124804894	6.96276036223258	3.7645099407335496	6.386781888790841
Tregs	7.1184278247132085	1.7257426666923001	5.828395589461559	1.0183411451389601	8.48152410721349	3.52213435345377	4.20232784848191	2.88518913511051	8.40177275442111	1.67066687531199	2.33942770450569	3.1719677726082995
Dendritic_cells	0.0	0.0	0.20841316176020305	0.0	0.0897100097727565	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Macrophages	5.74901562911443	26.498987593986072	6.519065497087429	15.76275646602195	4.25840238622867	16.57422318614793	5.58253276155333	3.932561249592601	2.4040435455410893	3.9630114457199648	6.273151240643242	6.2746186964101796
T_cells	40.38631781136921	13.819657531739802	28.36312652463946	5.595022918479789	34.03058916404549	15.590942476646873	17.220043469745608	23.90222771246851	31.23655987922601	8.63342723754457	6.10393764523924	9.55874966139914
CD4_T_cells	7.1184278247132085	1.7257426666923001	5.828395589461559	1.0183411451389601	8.48152410721349	3.52213435345377	4.20232784848191	13.246999486285011	8.40177275442111	1.67066687531199	2.33942770450569	3.1719677726082995
Lymphocytes	44.59571445933544	22.648179645341486	33.07140471143132	10.934404269781208	38.70007075611026	22.77343885175344	26.32386995818907	40.18120024640259	41.85088715533678	17.823671833352076	11.52276648782378	17.063775840554452
Other	41.114166395825436	48.76755141603011	50.96238220821208	64.9914945035181	48.342443303484934	55.1835502009701	59.433295231352474	47.180645780538796	43.57725214199623	66.36844930874565	73.58117554105435	62.58925406692837
