	BT1160	BT1187	BT749	BT771	BT786	BT830	BT85	BT920	MGH100	MGH101	MGH102	MGH104	MGH105	MGH106	MGH110	MGH113	MGH115	MGH121	MGH122	MGH124	MGH125	MGH128	MGH129	MGH136	MGH143	MGH151	MGH152	MGH66
B_cells	2.9187832935288	8.725621949195599	3.0043293939267404	2.86740706824376	1.7793627927408302	1.12798880544475	2.3430862550007503	4.27256090145043	3.11451863441002	3.9452035251182704	6.778828674727861	1.78852465985971	4.75491472936208	0.0	2.16677360755341	4.21692985349335	3.9565829529336	4.687149355290081	4.02110922588467	6.1244595882700885	4.27609539710907	3.98401342169342	3.9770890598180197	3.13589832268149	4.201701432785271	3.6622204423414506	2.3099595467711302	2.6858759654226603
Macrophages_M1	0.0	12.538706105634999	0.0	3.70445808974256	0.0	1.04002218104565	0.0	0.0	0.0	10.165781356087402	16.9458206910803	0.0	29.391679337179	1.11060269875578	0.0	10.298127862030599	2.05559828861521	0.0	16.941357266803394	5.24474618955856	0.788446340661174	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Macrophages_M2	0.0	68.2347100296025	0.0	1.02816379037713	0.42580114006377795	2.48560820160746	0.0	1.8843225125013403	0.0372971311412649	16.7650988644452	19.810840354280906	0.353861716304208	15.126664907232099	4.38397968068903	0.0	5.91027636386135	4.5619768663668205	0.261755095566167	9.17863304990418	6.136745971053871	8.80841437525967	0.0	0.640248010226785	0.0	0.9332689867739192	0.0	0.0	0.390805096763875
Monocytes	0.0	0.0	0.0	1.20914726763685	0.0	0.0	0.0	0.0	1.31903415613385	0.0	0.0	0.0	0.0	0.0	0.35363906845455895	0.0	5.694466171922098	0.0	0.0	0.0	0.0	1.79256265610097	0.18208478708598996	0.0	0.0	0.0	3.33140369319641	0.0
Neutrophils	0.0	5.45679055424564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NK_cells	5.122215273367611	0.0	4.3157829710116715	3.8417474655805295	3.87058230225936	3.5603466543763904	3.1803819349462796	4.69739483482728	5.818188415565901	3.4289762595294304	6.0444663182642095	4.0169179722245785	3.1097652238763698	2.16744032602501	4.018958017595129	4.26292249092747	5.10139150068594	9.205928539102429	6.94410676137627	6.18665049276595	5.05583492982149	7.19265485350774	9.21857774230362	5.96358245761069	6.17485355584204	10.348936503774699	7.53618036929047	8.051389547940541
T_helpers	13.865674299440998	0.0	15.6161646572543	4.6339109698459895	11.933964144699399	11.799426710656698	14.305552977832901	8.073326421542749	2.3787571929752698	0.0	0.65968065330885	1.8516039276524	0.0	14.2947234478362	15.185450774581001	8.17026421702384	0.0	0.0	9.408116244087381	8.13117331408202	15.883447370356699	0.015736824740838103	0.0	16.376374591522	0.0	0.0	0.0	0.0
CD8_T_cells	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.9403044931136	1.70373730772125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tregs	1.6263173766541899	0.0	1.51843570905741	0.411891855354089	1.4657603067883997	2.2056621236992298	1.5675138255240002	0.7399930475384541	0.0	0.0	0.0	0.015084350588793	0.0	1.04335099420428	1.26711532480169	0.049895159543516386	0.0	0.0	2.40346815599925	0.91136300860981	2.9466819417765597	0.0	0.0	1.88077401788046	0.0	0.0	0.0	0.0
Dendritic_cells	7.26154098911302	5.04417136132124	6.08015840367911	3.91157281501196	6.13977032023433	4.15870680818402	6.800001817285818	10.3101142477313	5.03069238399984	4.1302479418109	7.028494820819351	7.047001704106121	0.0	3.3386422142144103	6.570897970408431	3.22511130727647	0.705604411786573	7.808227895254752	3.50000196089257	7.280314820116231	8.67355204281187	6.80164862397116	7.549349857633651	8.855753362442849	8.24213436891756	9.88002700366083	4.5670367135862495	7.10749840324554
CD4_T_cells	15.491991676095193	0.0	17.13460036631171	5.045802825200079	13.399724451487801	14.005088834355929	15.8730668033569	8.813319469081202	2.3787571929752698	0.0	0.65968065330885	1.8666882782411929	0.0	15.338074442040481	16.45256609938269	8.220159376567358	0.0	0.0	11.811584400086632	9.04253632269183	18.830129312133263	0.015736824740838103	0.0	18.25714860940246	0.0	0.0	0.0	0.0
Macrophages	0.0	80.7734161352375	0.0	4.73262188011969	0.42580114006377795	3.52563038265311	0.0	1.8843225125013403	0.0372971311412649	26.930880220532604	36.756661045361206	0.353861716304208	44.518344244411104	5.494582379444809	0.0	16.208404225891947	6.61757515498203	0.261755095566167	26.119990316707568	11.38149216061243	9.596860715920844	0.0	0.640248010226785	0.0	0.9332689867739192	0.0	0.0	0.390805096763875
T_cells	15.491991676095193	0.0	17.13460036631171	5.045802825200079	13.399724451487801	14.005088834355929	15.8730668033569	8.813319469081202	2.3787571929752698	0.0	0.65968065330885	1.8666882782411929	0.0	58.278378935154095	18.15630340710394	8.220159376567358	0.0	0.0	11.811584400086632	9.04253632269183	18.830129312133263	0.015736824740838103	0.0	18.25714860940246	0.0	0.0	0.0	0.0
