	DLBCL1	DLBCL2	DLBCL3	FL1	FL2	FL3	FL4	rLN1	rLN2	rLN3	tFL1	tFL2
B_cells	100.0	41.0945730208319	47.6712449879379	59.56090219807499	45.34707065794721	45.26706461927311	57.5766552297513	12.9919590076901	56.095845579665394	48.5419285040357	45.798088718243605	43.633312661438296
Macrophages_M1	0.0	0.30937824318066504	0.37416505518108295	0.23733276120620803	1.45843971195106	0.957414526858048	0.37863372235620896	0.9129184501698928	0.0	0.0	1.35245731272494	0.784581733187184
Macrophages_M2	0.0	0.0	4.11781437702741	0.6034787973168321	0.0	0.05279963388032111	0.243017561782934	0.5718300673593121	1.24874090880225	2.4434009115564104	0.8091617455824479	0.0
Monocytes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.13132732115669	0.6578702256609761	2.57911708811861	0.0	0.0
Neutrophils	0.0	3.83515064617145	0.0	2.32520401389794	0.0	0.0	0.0	0.0	0.0	0.0	3.90266299822014	0.0
NK_cells	0.0	0.0	0.0	0.0	0.162642694696235	0.109059172383802	0.0	0.0	0.0	0.755265224842596	0.700313122455635	0.0
T_helpers	0.0	0.0	41.8435292625533	0.0	0.0	4.85939446152933	0.0	41.664545557066496	0.0	0.0	0.0	0.0
CD8_T_cells	0.0	0.0	0.0	0.7172896285705991	1.28848859652941	7.89323031004151	3.2890202478410098	11.436014498954599	0.0	7.98496406816887	6.059471715897759	0.0
Tregs	0.0	0.0	5.993246317300311	4.0395616750613605	0.0	1.0828640428803002	0.0	5.03860203714066	0.0	1.08982703753149	0.0508323141396782	0.0
Dendritic_cells	0.0	4.6259300567416295	0.0	3.9227077993360195	8.47904370102248	9.22019033081226	8.21218759394446	0.0	1.9970539051534297	0.0879310747695439	2.4841273431719597	10.6201143668851
T_cells	0.0	0.0	47.83677557985361	4.75685130363196	1.28848859652941	13.835488814451141	3.2890202478410098	58.13916209316177	0.0	9.074791105700363	6.110304030037439	0.0
CD4_T_cells	0.0	0.0	47.83677557985361	4.0395616750613605	0.0	5.94225850440963	0.0	46.70314759420715	0.0	1.08982703753149	0.0508323141396782	0.0
Macrophages	0.0	0.30937824318066504	4.491979432208494	0.84081155852304	1.45843971195106	1.010214160738369	0.621651284139143	1.4847485175292048	1.24874090880225	2.4434009115564104	2.161619058307388	0.784581733187184
Lymphocytes	100.0	41.0945730208319	95.5080205677915	64.31775350170696	46.79820194917285	59.21161260610806	60.86567547759232	71.13112110085189	56.095845579665394	58.371984834578654	52.60870587073668	43.633312661438296
Other	0.0	50.13496803307436	0.0	28.59352312653605	43.264314637853616	30.557982902341326	30.300485644324088	25.252803060462252	40.00048938071795	36.51756609097677	38.84288472956384	44.96199123848942
