	Sample_1976.0	Sample_3250.0	Sample_3250.1	Sample_3266.0	Sample_3281.0	Sample_3288.0	Sample_3288.1	Sample_3290.0
B_cells	3.2332145616185604	0.0	2.12771130814067	11.067150853782401	4.59600854905755	1.0486149208911502	0.0	1.4960075632799
Macrophages_M1	13.391281833336198	2.0791976341718	4.2223622346875	6.776740127307741	26.8263863309049	31.5973396163164	39.848584499122296	31.972277370883898
Macrophages_M2	17.765216655781103	1.3117409799455702	0.602689708829161	6.0521077742900395	31.040141164603305	27.0804401341038	10.077167120884802	23.344279626389998
Monocytes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Neutrophils	0.0	0.0	1.13937041879373	0.0	0.0	0.0	0.0	0.0
NK_cells	0.943412239450732	54.583415412579214	0.708507664668622	3.77552269670927	0.0516932677757458	0.0	0.0	0.0
T_helpers	1.39905833275161	0.0	6.3658405302729	0.0	0.0	0.0	0.0	0.0
CD8_T_cells	0.0	0.0	0.128061906190161	0.830818952205559	0.8437286175125571	0.0	0.0	0.0
Tregs	0.0	0.0	3.25664088207811	17.443061459974597	0.0	0.0	0.0	0.0
Dendritic_cells	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T_cells	1.39905833275161	0.0	9.75054331854117	18.27388041218016	0.8437286175125571	0.0	0.0	0.0
CD4_T_cells	1.39905833275161	0.0	9.622481412351007	17.443061459974597	0.0	0.0	0.0	0.0
Macrophages	31.156498489117304	3.3909386141173696	4.825051943516661	12.82884790159778	57.8665274955082	58.6777797504202	49.925751620007105	55.316556997273906
Lymphocytes	5.575685133820902	54.583415412579214	12.586762291350462	33.11655396267183	5.491430434345854	1.0486149208911502	0.0	1.4960075632799
Other	63.26781637706181	42.025645973303426	81.44881534633916	54.0545981357304	36.64204207014593	40.27360532868865	50.074248379992895	43.187435439446205
