	TWDN-WUR-117-A1	TWDN-WUR-117-A2	TWDN-WUR-117-A3	TWDN-WUR-120-A1	TWDN-WUR-120-A2	TWDN-WUR-120-A3	TWDN-WUR-124-A1	TWDN-WUR-124-A2
B_cells	2.8000674500384806	4.805317412102295	3.261530420093206	2.4487554317877733	2.346470407409851	2.632474392580543	4.063992015082993	4.051104436941657
Macrophages_M1	13.315418204217176	22.720073166957647	24.56996915948252	15.399361926871455	17.073342670394055	17.97131662352051	9.882627818314619	8.670708391875298
Macrophages_M2	19.053350394075004	4.180325733648562	24.11623440322852	18.764415123275192	20.119318252789487	17.563324906461368	15.746033481910956	18.076969799666625
Monocytes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Neutrophils	48.68204551540428	35.45316075878117	18.86852312609129	55.175180586086064	49.54069367419393	51.713403251772974	59.20729210595507	46.13181556888278
NK_cells	5.613511528087926	1.8372060295949049	5.9069360720210815	6.543835033630879	7.946768712271878	6.948504819982605	6.474022279867125	6.814346940188347
T_helpers	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CD8_T_cells	5.782496361317839	23.33068036942571	9.932532787677038	0.0	0.0	0.0	0.0	0.0
Tregs	4.753110546859288	7.6732365294897065	13.344274031406348	1.6684518983486492	2.973406282940766	3.1709760056820016	2.9011050298318817	8.473853381273305
Dendritic_cells	0.0	0.0	0.0	0.0	0.0	0.0	1.7249272690373565	7.7812014811720065
Macrophages	32.36876859829218	26.900398900606213	48.686203562711036	34.16377705014665	37.192660923183546	35.53464152998188	25.628661300225573	26.74767819154192
CD4_T_cells	4.753110546859288	7.6732365294897065	13.344274031406348	1.6684518983486492	2.973406282940766	3.1709760056820016	2.9011050298318817	8.473853381273305
T_cells	10.535606908177126	31.003916898915413	23.27680681908339	1.6684518983486492	2.973406282940766	3.1709760056820016	2.9011050298318817	8.473853381273305
Lymphocytes	18.949185886303532	37.64644034061261	32.445273311197674	10.6610423637673	13.266645402622492	12.751955218245149	13.439119324782	19.33930475840331
Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
