	length
ARF5	922.2432675371601
M6PR	1444.4871131785396
ESRRA	1472.6559361697587
FKBP4	2297.099814966189
CYP26B1	2736.774
NDUFAF7	1385.9550154843919
FUCA2	1950.2273628579428
DBNDD1	1881.6271250986658
HS3ST1	4447.793815379831
SEMA3F	2294.057971720289
CFTR	3997.52341953252
CYP51A1	2639.990420358121
USP28	2520.088068372911
STPG1	1821.9466000000002
NIPAL3	3823.225298143924
TMEM176A	965.7867488151248
SLC7A2	6566.494213901181
HSPB6	1259.0
ZNF195	1989.5333376580766
PDK4	3408.795
CCL26	415.5
USH1C	1920.1949
RALA	2556.8503324937647
BCAP29	1642.6536103237027
BAIAP2L1	3454.795
CACNG3	2920.795
TMEM132A	2171.0910588836823
DVL2	2202.2036791007486
GGCT	914.3916779729213
RPAP3	2539.7743593490777
IFRD1	1447.8376610980245
UPP2	2241.24
PRSS21	786.0
HOXA11	2040.895
CX3CL1	3258.2276744095325
PRR5	1596.0080614198223
TRAPPC6A	569.5028151268809
SPATA20	2519.95
CEACAM7	877.1018266666666
CD79B	822.9532297649841
RHBDD2	1534.2033333333334
RPUSD1	1623.6188898402438
TSR3	1075.795
OSBPL7	3429.595352737382
ARHGAP33	3350.7001810780935
NDUFAB1	539.2228578175566
YBX2	967.115
PDK2	1763.289384376755
ITGA3	4314.636489077055
KRT33A	1119.795
LRRC23	1079.7951165275751
IL32	704.747583068611
TFAP2D	1543.795
SPRTN	2857.445611279495
CRY1	2883.6029013837506
PGLYRP1	552.8265
STARD3NL	1134.4429381806967
CAMK1G	1847.382
CD9	953.4740724813206
CD74	1109.585905272356
RPS20	467.0815516169003
DYRK4	1675.5915420239853
FAM76A	1300.0299587027462
MGST1	552.445191995741
CPA1	832.6933
SYPL1	1903.9582357938289
RANBP9	2945.795
CD4	2911.9009757048702
PLEKHG6	1944.4751620428742
SS18L2	659.1185
VPS13D	15427.169589317295
TSPAN9	3581.2584349236436
CYP4F2	1231.19575
QPCTL	1929.744107272401
HIVEP2	9472.550244410428
PPP5C	1925.0391093665985
NME1	788.1921396870825
UBR7	2746.095194854196
MAP4K5	3305.344063737939
INMT	2383.3138186950705
ERCC1	1367.9948976523883
GPRC5A	4836.118208792304
HEBP1	1055.4114031990807
DNASE1L1	1783.9110027513589
COX15	2420.3245945549816
MS4A12	670.4458749999999
RGPD5	2656.4270368861708
XYLT2	2394.5689349591576
FTSJ1	1715.9443237334458
SCTR	986.0
RALBP1	3097.5846972556255
PSD	3233.835
SYT13	4945.0
SNAI2	1938.1799999999998
VDAC3	1092.1467732467095
SLC7A9	1518.3619509031773
GABRA1	1866.329714285714
RTFDC1	1275.834568812388
SLC45A4	4403.090889167638
RB1CC1	5468.640376361338
AKAP11	9752.795
STRAP	1638.704353011075
PIGQ	1907.7216088428527
CDH17	1112.812627390454
B4GALT7	1019.6278625330742
SLC39A9	3830.3412977506287
FAM13B	3476.8920572896477
RANBP3	1704.1921514996857
CHPF2	3774.5626426650706
LRRC7	4270.5
GABARAPL2	775.1739416764977
MYOC	1882.4299999999998
FAM136A	1611.0
NSMAF	3370.0
OTC	1417.795
TTC17	3438.710175418948
HOXC8	1721.795
MRI1	2242.778091850161
BOD1L1	8799.626998886512
TARBP1	4962.795
FAM65A	1977.700551969812
BEST2	522.7648403807673
RTN4R	1688.5075963890708
PSMA4	870.753417814359
FAM65C	4189.8883245746265
SPATA7	1080.25
ZPBP	802.2256666666667
CTNS	1553.0763249722522
LCP2	1866.6924246677363
GOPC	4402.336550275402
DCN	1215.4890046323862
TNFRSF17	586.7773272994202
MRPS10	1942.7949999999998
GUCA1A	1481.8
GRN	1789.485095758433
THAP3	1163.5344709165333
VAMP3	1845.30306655907
UTS2	661.0
RCN1	1887.0212087096158
RFC2	1339.94462561255
PPP1R3F	1535.370684666361
KIAA2022	10425.0
ARHGEF5	4451.543671383094
NFE2L3	1672.3878653207157
TNIP3	1774.994771721437
SIKE1	5083.305637149038
TLL1	3352.2103749999997
NNAT	1098.0
CBLN4	2856.795
CLDN11	1079.7083315406426
FAM168A	5860.2610360606905
RELT	2130.1366537588747
CDC27	3554.4828068299057
PKP2	2738.5906462650955
IL1RAP	2511.159735181092
YIPF1	1305.753436499388
ADCK2	1819.1374906464875
INPP4A	5110.252834606028
SLC2A3	3715.73940437995
ENPP2	2503.249705863806
CTDP1	2807.7631839439127
STYK1	1026.251479841097
GNA11	2145.0034922023933
CREB3L3	1585.9650000000001
PIGV	1703.7111099829553
HDAC7	1867.978740028314
MRPS35	1561.318046256209
APPBP2	6279.0
RPL18	449.5906788720875
CA11	1645.0
ISOC2	882.6348089066357
EPN1	3395.3249383616685
CD22	1842.2986793362597
GSC2	865.797
ZFY	3132.2
CECR5	1569.0500000000002
KCNQ1	2002.7207727432167
TRPM5	3533.0
TRIB2	2778.9024432979595
OTUD5	1937.9093871052537
GPKOW	1574.795
AQR	8551.090679633253
KLK14	934.0
ST6GALNAC1	1000.6521666666667
MBD3	2038.3782140470244
LMCD1	1881.9747009673722
PSMC4	1361.053432864449
FNDC8	1220.795
CAMKK1	3226.5214488334786
FAM50A	1170.8520586633479
ACAP1	859.5414188776286
DERL2	2619.9972730677537
NOX3	1874.795
ANO8	3650.478773287001
KDM4B	4279.941780720537
PANX2	2852.0
ICAM3	946.2346209146858
CAMSAP3	3909.2989494890926
CTTNBP2	3109.288113269753
ACTL6B	825.79075
FAM135B	2571.8085
CIC	4598.95098023478
KIF22	1941.168549471015
PRSS22	1086.2896351607537
CEACAM1	1766.2380625
YTHDC2	4955.867109210057
TMEM161A	1048.8756141164677
BCAR1	2009.5051295419519
FOXJ2	4616.483618053835
TNFRSF1A	1648.2478092884276
GOLGA5	2707.177537666632
CELSR3	11788.8
PPP2R5B	2434.218798924908
PYGM	2805.0414541343193
BCL3	1839.0
KCNAB2	2144.4223982279477
PIGB	1398.92297951909
PDZD4	3424.3333333333335
PRLH	108.1555
REEP1	2856.231117429754
FSTL3	1945.0
EPHA8	2679.0183333333334
TRIP13	2307.3996928043243
P4HA2	1851.8441817621854
VASH1	4396.07238177539
LLGL2	1745.100845302556
KRT14	1494.795
KRT20	1569.795
SPP2	632.5409999999999
HSD17B10	786.7750080612313
FGF4	3065.795
NMRK2	781.5844306146591
MASP1	2252.286
ST6GAL1	2120.096963660233
TIMM21	1731.3393120594387
BPIFB2	1730.795
REXO1	4392.0
MKRN2	2506.785126030055
GPATCH1	3324.795
IL4R	1699.3792139205416
KEAP1	2150.287222102452
P2RY10	1490.6002930185796
TNS1	3782.651930329298
NGFR	3194.5049955515
NEB	7056.6038519523445
NTN1	5753.1900000000005
ISOC1	1766.475
TRO	1423.0525235613654
MNT	4820.895
AP3M2	2275.7040175243787
LAPTM4A	1597.795
ADAM7	2304.0
ASNS	1225.2381281335126
PTPN18	3377.720748981518
DRD4	1207.795
SCT	201.6
ALDH3A2	2001.0330163104525
STK10	5339.43371359917
ALPK1	5192.42626044992
TBX21	2404.795
MRPS34	856.5686452506802
CA12	3750.7070696574956
MAP2K5	1199.018780540498
TIGAR	2614.795
FGF20	890.30375
MTMR7	3245.592292652672
CPB2	1507.625
FAM107B	1938.4094333178668
CDK13	4603.833670063666
TSPAN32	1092.6999999999998
FAR2	2031.7463750521647
TRAM2	6740.795
CLDN18	3305.2951489984152
ROPN1	1414.205
NDUFB4	523.255665454129
HEATR6	3564.16914581283
ERLEC1	2154.409870906028
CLIC5	3864.8047431295786
TMEM131	5566.334217184753
ARPP21	1257.4309090909094
CEACAM21	848.2169644210927
TMEM38A	2450.0
ZNF222	1229.5242957800979
PSG6	1988.9034254564226
ACTR6	1755.4739192282238
SLC25A3	1300.6984914868162
NR1H4	1304.9230714285713
FAP	2014.1632499999998
NFKB2	2423.2880600111325
MUSK	1903.8333333333333
DMRT3	1198.81925
OSBPL6	5147.5086921853035
WISP2	1319.0
CTSA	1695.4828889078717
ANKRD16	2030.510091478584
GAL3ST2	1056.3743333333332
UHRF1BP1	8665.935312972553
MOK	769.3971833964313
OSTM1	2931.7658380501853
IMPG2	8169.795
ACTN1	2328.2184656266395
NAIP	3527.0
KIAA0141	2044.23185327202
SLC13A1	3616.0
PCDHB4	3657.795
PCDHB2	2800.305258199252
HSPB11	682.1282188787338
STRADB	1846.5371092893406
DLG3	4576.115737619925
SEMA5B	2802.7490985734485
SNAP91	2116.0
PLOD1	2602.5281723835506
TDRD3	2122.574600843979
OXCT1	2859.3502164188785
ZNF324	3018.232370265546
ZNF416	2393.795
RPS5	577.5853619902971
KIAA1467	4583.607333470871
PILRA	1012.257060078444
CPNE3	2736.4615805324997
RRN3	2473.88168651047
MOGAT2	2136.9700000000003
CHERP	3974.388509801085
AQP2	2330.3925
DIMT1	2495.8695548307423
